Drug1,Drug2,Cell_Line,Loewe,Tissue
Carboplatinum,Veliparib,MDA.MB.436,2.543900933,breast
Carboplatinum,MK-1775,MDA.MB.436,6.215164866,breast
Carboplatinum,915019-65-7,MDA.MB.436,8.345716802,breast
Carboplatinum,Bortezomib,MDA.MB.436,-1.333879527,breast
Carboplatinum,Dasatinib,MDA.MB.436,4.604934568,breast
Carboplatinum,Dinaciclib,MDA.MB.436,-2.976529007,breast
Carboplatinum,Erlotinib,MDA.MB.436,2.629611053,breast
Carboplatinum,geldanamycin,MDA.MB.436,1.154925842,breast
Carboplatinum,L-778123 free base,MDA.MB.436,0.732019226,breast
Carboplatinum,Lapatinib,MDA.MB.436,0.957639124,breast
Carboplatinum,MK-2206,MDA.MB.436,5.153188936,breast
Carboplatinum,Niraparib,MDA.MB.436,3.833871157,breast
Carboplatinum,MK-5108,MDA.MB.436,0.060179298,breast
Carboplatinum,Deforolimus,MDA.MB.436,7.594058043,breast
Carboplatinum,891494-63-6,MDA.MB.436,6.6940493,breast
Carboplatinum,391210-10-9,MDA.MB.436,3.061773657,breast
Carboplatinum,Sorafenib,MDA.MB.436,-18.58252843,breast
Carboplatinum,Sunitinib,MDA.MB.436,0.607661931,breast
Carboplatinum,temozolomide,MDA.MB.436,-10.30803552,breast
Carboplatinum,Vorinostat,MDA.MB.436,1.414929602,breast
cyclophosphamide,Veliparib,MDA.MB.436,-3.500879895,breast
cyclophosphamide,MK-1775,MDA.MB.436,-58.57482757,breast
cyclophosphamide,915019-65-7,MDA.MB.436,-20.81197948,breast
cyclophosphamide,Bortezomib,MDA.MB.436,-49.86747991,breast
cyclophosphamide,Dasatinib,MDA.MB.436,-4.354986402,breast
cyclophosphamide,Dinaciclib,MDA.MB.436,-40.95651221,breast
cyclophosphamide,Erlotinib,MDA.MB.436,-22.02846011,breast
cyclophosphamide,geldanamycin,MDA.MB.436,-25.6571782,breast
cyclophosphamide,L-778123 free base,MDA.MB.436,-7.983575745,breast
cyclophosphamide,Lapatinib,MDA.MB.436,-7.519293682,breast
cyclophosphamide,MK-2206,MDA.MB.436,-12.53115847,breast
cyclophosphamide,Niraparib,MDA.MB.436,-7.115599144,breast
cyclophosphamide,MK-5108,MDA.MB.436,-15.48911896,breast
cyclophosphamide,Deforolimus,MDA.MB.436,-9.331717756,breast
cyclophosphamide,891494-63-6,MDA.MB.436,-24.36572846,breast
cyclophosphamide,391210-10-9,MDA.MB.436,-7.815382058,breast
cyclophosphamide,Sorafenib,MDA.MB.436,-17.03847147,breast
cyclophosphamide,Sunitinib,MDA.MB.436,-20.1745728,breast
cyclophosphamide,temozolomide,MDA.MB.436,-1.340741108,breast
cyclophosphamide,Vorinostat,MDA.MB.436,-23.07131707,breast
Dasatinib,Veliparib,MDA.MB.436,5.369559364,breast
Dasatinib,915019-65-7,MDA.MB.436,1.497575027,breast
Dasatinib,Dinaciclib,MDA.MB.436,-1.996009908,breast
Dasatinib,geldanamycin,MDA.MB.436,0.540345306,breast
Dasatinib,Deforolimus,MDA.MB.436,10.92130714,breast
Dasatinib,891494-63-6,MDA.MB.436,1.85179667,breast
Dasatinib,Eloxatin (TN),MDA.MB.436,-11.2945451,breast
Dasatinib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,-1.626686176,breast
Dasatinib,Sorafenib,MDA.MB.436,-2.600725378,breast
Dasatinib,topotecan,MDA.MB.436,-12.9547617,breast
dexamethasone,Veliparib,MDA.MB.436,-3.60386427,breast
dexamethasone,MK-1775,MDA.MB.436,-60.04195257,breast
dexamethasone,915019-65-7,MDA.MB.436,-23.82713573,breast
dexamethasone,Bortezomib,MDA.MB.436,-24.56904272,breast
dexamethasone,Dasatinib,MDA.MB.436,-9.953220776,breast
dexamethasone,Dinaciclib,MDA.MB.436,-19.15344333,breast
dexamethasone,Erlotinib,MDA.MB.436,-23.29544449,breast
dexamethasone,geldanamycin,MDA.MB.436,-26.2706782,breast
dexamethasone,L-778123 free base,MDA.MB.436,-10.16746637,breast
dexamethasone,Lapatinib,MDA.MB.436,-12.52331712,breast
dexamethasone,MK-2206,MDA.MB.436,-14.4087366,breast
dexamethasone,Niraparib,MDA.MB.436,-11.17128664,breast
dexamethasone,MK-5108,MDA.MB.436,-9.819935246,breast
dexamethasone,Deforolimus,MDA.MB.436,-11.75587401,breast
dexamethasone,891494-63-6,MDA.MB.436,-20.85980658,breast
dexamethasone,391210-10-9,MDA.MB.436,-5.911866432,breast
dexamethasone,Sorafenib,MDA.MB.436,-8.798237093,breast
dexamethasone,Sunitinib,MDA.MB.436,-17.01193217,breast
dexamethasone,temozolomide,MDA.MB.436,0.298403838,breast
dexamethasone,Vorinostat,MDA.MB.436,-15.47526118,breast
Dinaciclib,891494-63-6,MDA.MB.436,-3.736861559,breast
doxorubicin,Veliparib,MDA.MB.436,-1.223075749,breast
doxorubicin,MK-1775,MDA.MB.436,0.933264604,breast
doxorubicin,915019-65-7,MDA.MB.436,4.951414297,breast
doxorubicin,Bortezomib,MDA.MB.436,-4.249092565,breast
doxorubicin,Dasatinib,MDA.MB.436,-12.97110289,breast
doxorubicin,Dinaciclib,MDA.MB.436,-2.298302527,breast
doxorubicin,Erlotinib,MDA.MB.436,-0.927727496,breast
doxorubicin,geldanamycin,MDA.MB.436,-4.297239086,breast
doxorubicin,L-778123 free base,MDA.MB.436,-10.58763862,breast
doxorubicin,Lapatinib,MDA.MB.436,-17.75543979,breast
doxorubicin,MK-2206,MDA.MB.436,-0.859532673,breast
doxorubicin,Niraparib,MDA.MB.436,-5.176263788,breast
doxorubicin,MK-5108,MDA.MB.436,-15.63395298,breast
doxorubicin,Deforolimus,MDA.MB.436,2.21191885,breast
doxorubicin,891494-63-6,MDA.MB.436,5.467023374,breast
doxorubicin,391210-10-9,MDA.MB.436,-8.395781113,breast
doxorubicin,Sorafenib,MDA.MB.436,-11.66277155,breast
doxorubicin,Sunitinib,MDA.MB.436,-5.135877405,breast
doxorubicin,temozolomide,MDA.MB.436,-24.21696141,breast
doxorubicin,Vorinostat,MDA.MB.436,2.634543657,breast
Erlotinib,Veliparib,MDA.MB.436,1.516747774,breast
Erlotinib,915019-65-7,MDA.MB.436,9.030560094,breast
Erlotinib,Bortezomib,MDA.MB.436,-5.357906513,breast
Erlotinib,Dasatinib,MDA.MB.436,3.597451699,breast
Erlotinib,Dinaciclib,MDA.MB.436,-4.096680118,breast
Erlotinib,geldanamycin,MDA.MB.436,3.776985072,breast
Erlotinib,Deforolimus,MDA.MB.436,7.505341542,breast
Erlotinib,891494-63-6,MDA.MB.436,-1.81144537,breast
Erlotinib,Eloxatin (TN),MDA.MB.436,-8.449508552,breast
Erlotinib,391210-10-9,MDA.MB.436,2.296967155,breast
Erlotinib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,7.228323311,breast
Erlotinib,Sorafenib,MDA.MB.436,-4.144685583,breast
Erlotinib,topotecan,MDA.MB.436,4.22056062,breast
etoposide,Veliparib,MDA.MB.436,4.562879297,breast
etoposide,MK-1775,MDA.MB.436,7.696316164,breast
etoposide,915019-65-7,MDA.MB.436,7.252770121,breast
etoposide,Bortezomib,MDA.MB.436,-1.805218828,breast
etoposide,Dasatinib,MDA.MB.436,0.376061867,breast
etoposide,Dinaciclib,MDA.MB.436,-2.463558661,breast
etoposide,Erlotinib,MDA.MB.436,6.540797955,breast
etoposide,geldanamycin,MDA.MB.436,3.832284672,breast
etoposide,Lapatinib,MDA.MB.436,2.941126476,breast
etoposide,MK-2206,MDA.MB.436,9.412526778,breast
etoposide,Niraparib,MDA.MB.436,4.989294297,breast
etoposide,MK-5108,MDA.MB.436,-1.107589387,breast
etoposide,Deforolimus,MDA.MB.436,8.702528301,breast
etoposide,891494-63-6,MDA.MB.436,6.037899231,breast
etoposide,391210-10-9,MDA.MB.436,3.682761551,breast
etoposide,Sorafenib,MDA.MB.436,-6.555148222,breast
etoposide,Sunitinib,MDA.MB.436,-0.053147515,breast
etoposide,temozolomide,MDA.MB.436,-13.65208258,breast
etoposide,Vorinostat,MDA.MB.436,3.294172983,breast
geldanamycin,915019-65-7,MDA.MB.436,5.115663696,breast
geldanamycin,Dinaciclib,MDA.MB.436,1.116879915,breast
geldanamycin,891494-63-6,MDA.MB.436,1.836088213,breast
geldanamycin,Eloxatin (TN),MDA.MB.436,-0.661656475,breast
geldanamycin,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,2.053382815,breast
geldanamycin,Sorafenib,MDA.MB.436,-11.86417746,breast
geldanamycin,topotecan,MDA.MB.436,-2.69921706,breast
gemcitabine,Veliparib,MDA.MB.436,-3.583097081,breast
gemcitabine,MK-1775,MDA.MB.436,17.63925667,breast
gemcitabine,915019-65-7,MDA.MB.436,10.83640029,breast
gemcitabine,Bortezomib,MDA.MB.436,-1.361652733,breast
gemcitabine,Dasatinib,MDA.MB.436,0.515770061,breast
gemcitabine,Dinaciclib,MDA.MB.436,-3.986912564,breast
gemcitabine,Erlotinib,MDA.MB.436,4.194673173,breast
gemcitabine,geldanamycin,MDA.MB.436,-0.280679158,breast
gemcitabine,Lapatinib,MDA.MB.436,-6.849088899,breast
gemcitabine,MK-2206,MDA.MB.436,4.733810607,breast
gemcitabine,Niraparib,MDA.MB.436,-0.466280666,breast
gemcitabine,MK-5108,MDA.MB.436,-6.497490373,breast
gemcitabine,Deforolimus,MDA.MB.436,5.747128506,breast
gemcitabine,891494-63-6,MDA.MB.436,18.9514856,breast
gemcitabine,391210-10-9,MDA.MB.436,-3.147963409,breast
gemcitabine,Sorafenib,MDA.MB.436,-5.213154379,breast
gemcitabine,Sunitinib,MDA.MB.436,3.136442768,breast
gemcitabine,temozolomide,MDA.MB.436,-16.12673601,breast
L-778123 free base,Veliparib,MDA.MB.436,2.281808438,breast
L-778123 free base,MK-1775,MDA.MB.436,1.688097752,breast
L-778123 free base,915019-65-7,MDA.MB.436,12.4221944,breast
L-778123 free base,Bortezomib,MDA.MB.436,-6.291966491,breast
L-778123 free base,Dasatinib,MDA.MB.436,9.58843482,breast
L-778123 free base,Dinaciclib,MDA.MB.436,-1.328873654,breast
L-778123 free base,Erlotinib,MDA.MB.436,3.202864378,breast
L-778123 free base,etoposide,MDA.MB.436,3.02723206,breast
L-778123 free base,geldanamycin,MDA.MB.436,4.729769605,breast
L-778123 free base,gemcitabine,MDA.MB.436,2.669406637,breast
L-778123 free base,Lapatinib,MDA.MB.436,4.642467723,breast
L-778123 free base,MK-2206,MDA.MB.436,4.235748256,breast
L-778123 free base,Niraparib,MDA.MB.436,8.711901743,breast
L-778123 free base,MK-5108,MDA.MB.436,4.787046452,breast
L-778123 free base,Deforolimus,MDA.MB.436,15.9161464,breast
L-778123 free base,891494-63-6,MDA.MB.436,2.456561156,breast
L-778123 free base,Eloxatin (TN),MDA.MB.436,-3.271608379,breast
L-778123 free base,391210-10-9,MDA.MB.436,6.781814452,breast
L-778123 free base,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,4.281782404,breast
L-778123 free base,Sorafenib,MDA.MB.436,-14.54980509,breast
L-778123 free base,Sunitinib,MDA.MB.436,5.258149806,breast
L-778123 free base,temozolomide,MDA.MB.436,-6.307597168,breast
L-778123 free base,topotecan,MDA.MB.436,2.031043517,breast
L-778123 free base,vinorelbine,MDA.MB.436,0.642838836,breast
L-778123 free base,Vorinostat,MDA.MB.436,2.575833789,breast
Lapatinib,Veliparib,MDA.MB.436,1.431699054,breast
Lapatinib,915019-65-7,MDA.MB.436,3.32191114,breast
Lapatinib,Bortezomib,MDA.MB.436,-5.271975251,breast
Lapatinib,Dasatinib,MDA.MB.436,3.110499643,breast
Lapatinib,Dinaciclib,MDA.MB.436,-1.662085405,breast
Lapatinib,Erlotinib,MDA.MB.436,-4.786538605,breast
Lapatinib,geldanamycin,MDA.MB.436,4.410562739,breast
Lapatinib,MK-2206,MDA.MB.436,2.108111071,breast
Lapatinib,Niraparib,MDA.MB.436,1.783230458,breast
Lapatinib,MK-5108,MDA.MB.436,1.213299151,breast
Lapatinib,Deforolimus,MDA.MB.436,2.34112266,breast
Lapatinib,891494-63-6,MDA.MB.436,-1.736166723,breast
Lapatinib,Eloxatin (TN),MDA.MB.436,-11.06767119,breast
Lapatinib,391210-10-9,MDA.MB.436,5.727728227,breast
Lapatinib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,5.133868077,breast
Lapatinib,Sorafenib,MDA.MB.436,-8.393586344,breast
Lapatinib,topotecan,MDA.MB.436,-2.922561785,breast
metformin,Veliparib,MDA.MB.436,-49.96960723,breast
metformin,MK-1775,MDA.MB.436,-76.16657782,breast
metformin,915019-65-7,MDA.MB.436,-30.9966018,breast
metformin,Bortezomib,MDA.MB.436,-51.33553732,breast
metformin,Dasatinib,MDA.MB.436,1.980604813,breast
metformin,Dinaciclib,MDA.MB.436,-38.229995,breast
metformin,Erlotinib,MDA.MB.436,-42.24836358,breast
metformin,geldanamycin,MDA.MB.436,-31.47592983,breast
metformin,L-778123 free base,MDA.MB.436,-19.44084112,breast
metformin,Lapatinib,MDA.MB.436,-14.63117109,breast
metformin,MK-2206,MDA.MB.436,-29.71710626,breast
metformin,Niraparib,MDA.MB.436,-17.94942886,breast
metformin,MK-5108,MDA.MB.436,-19.87079117,breast
metformin,Deforolimus,MDA.MB.436,-10.39563995,breast
metformin,891494-63-6,MDA.MB.436,-24.74924291,breast
metformin,391210-10-9,MDA.MB.436,-7.107499006,breast
metformin,Sorafenib,MDA.MB.436,-52.73360206,breast
metformin,Sunitinib,MDA.MB.436,-58.44911383,breast
metformin,temozolomide,MDA.MB.436,-3.461016629,breast
metformin,Vorinostat,MDA.MB.436,-42.65792694,breast
methotrexate,Veliparib,MDA.MB.436,-2.568706105,breast
methotrexate,MK-1775,MDA.MB.436,-4.604981084,breast
methotrexate,915019-65-7,MDA.MB.436,-7.294304634,breast
methotrexate,Bortezomib,MDA.MB.436,-5.20083422,breast
methotrexate,Dasatinib,MDA.MB.436,-23.93233688,breast
methotrexate,Dinaciclib,MDA.MB.436,-0.197903284,breast
methotrexate,Erlotinib,MDA.MB.436,1.693649383,breast
methotrexate,geldanamycin,MDA.MB.436,-8.165245482,breast
methotrexate,L-778123 free base,MDA.MB.436,-13.70807595,breast
methotrexate,Lapatinib,MDA.MB.436,-10.19497697,breast
methotrexate,MK-2206,MDA.MB.436,-4.468005088,breast
methotrexate,Niraparib,MDA.MB.436,-5.874923019,breast
methotrexate,MK-5108,MDA.MB.436,-19.51116022,breast
methotrexate,Deforolimus,MDA.MB.436,-7.339877452,breast
methotrexate,891494-63-6,MDA.MB.436,-3.600864685,breast
methotrexate,391210-10-9,MDA.MB.436,-11.65182047,breast
methotrexate,Sorafenib,MDA.MB.436,-3.510648736,breast
methotrexate,Sunitinib,MDA.MB.436,-10.87239498,breast
methotrexate,temozolomide,MDA.MB.436,-32.02494732,breast
methotrexate,Vorinostat,MDA.MB.436,-9.724041037,breast
mitomycin C,Veliparib,MDA.MB.436,-0.536645708,breast
mitomycin C,MK-1775,MDA.MB.436,6.695313485,breast
mitomycin C,915019-65-7,MDA.MB.436,8.752049388,breast
mitomycin C,Bortezomib,MDA.MB.436,-3.059751215,breast
mitomycin C,Dasatinib,MDA.MB.436,-5.136965244,breast
mitomycin C,Dinaciclib,MDA.MB.436,-0.87185886,breast
mitomycin C,Erlotinib,MDA.MB.436,-11.56153117,breast
mitomycin C,geldanamycin,MDA.MB.436,0.858062462,breast
mitomycin C,L-778123 free base,MDA.MB.436,-10.83347042,breast
mitomycin C,Lapatinib,MDA.MB.436,-9.666656548,breast
mitomycin C,MK-2206,MDA.MB.436,3.410728118,breast
mitomycin C,Niraparib,MDA.MB.436,0.441268115,breast
mitomycin C,MK-5108,MDA.MB.436,-11.67160925,breast
mitomycin C,Deforolimus,MDA.MB.436,6.880986392,breast
mitomycin C,891494-63-6,MDA.MB.436,11.00349485,breast
mitomycin C,391210-10-9,MDA.MB.436,-1.630092953,breast
mitomycin C,Sorafenib,MDA.MB.436,-30.8707743,breast
mitomycin C,Sunitinib,MDA.MB.436,-0.132455969,breast
mitomycin C,temozolomide,MDA.MB.436,-13.17077893,breast
mitomycin C,Vorinostat,MDA.MB.436,4.016492967,breast
MK-2206,Veliparib,MDA.MB.436,3.158607977,breast
MK-2206,915019-65-7,MDA.MB.436,9.010530878,breast
MK-2206,Bortezomib,MDA.MB.436,-7.722733211,breast
MK-2206,Dasatinib,MDA.MB.436,11.04695159,breast
MK-2206,Dinaciclib,MDA.MB.436,0.686347581,breast
MK-2206,Erlotinib,MDA.MB.436,5.186495542,breast
MK-2206,geldanamycin,MDA.MB.436,3.021670261,breast
MK-2206,Deforolimus,MDA.MB.436,9.446158386,breast
MK-2206,891494-63-6,MDA.MB.436,1.815501765,breast
MK-2206,Eloxatin (TN),MDA.MB.436,-7.090475129,breast
MK-2206,391210-10-9,MDA.MB.436,1.954821185,breast
MK-2206,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,5.940307203,breast
MK-2206,Sorafenib,MDA.MB.436,-4.201675068,breast
MK-2206,topotecan,MDA.MB.436,-0.192499297,breast
Niraparib,Veliparib,MDA.MB.436,-3.362409656,breast
Niraparib,915019-65-7,MDA.MB.436,6.487751325,breast
Niraparib,Bortezomib,MDA.MB.436,0.195800107,breast
Niraparib,Dasatinib,MDA.MB.436,6.249298486,breast
Niraparib,Dinaciclib,MDA.MB.436,-3.914205357,breast
Niraparib,Erlotinib,MDA.MB.436,3.709354887,breast
Niraparib,geldanamycin,MDA.MB.436,3.055349352,breast
Niraparib,MK-2206,MDA.MB.436,5.669357923,breast
Niraparib,Deforolimus,MDA.MB.436,6.242422802,breast
Niraparib,891494-63-6,MDA.MB.436,7.342831749,breast
Niraparib,Eloxatin (TN),MDA.MB.436,-3.865074174,breast
Niraparib,391210-10-9,MDA.MB.436,6.24714615,breast
Niraparib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,4.904214897,breast
Niraparib,Sorafenib,MDA.MB.436,-8.942275989,breast
Niraparib,topotecan,MDA.MB.436,-1.436955555,breast
MK-5108,Veliparib,MDA.MB.436,5.848900092,breast
MK-5108,915019-65-7,MDA.MB.436,-4.214197054,breast
MK-5108,Bortezomib,MDA.MB.436,-17.25140092,breast
MK-5108,Dasatinib,MDA.MB.436,6.158041069,breast
MK-5108,Dinaciclib,MDA.MB.436,-15.32560393,breast
MK-5108,Erlotinib,MDA.MB.436,-0.072067548,breast
MK-5108,geldanamycin,MDA.MB.436,-3.0819123,breast
MK-5108,MK-2206,MDA.MB.436,3.311051215,breast
MK-5108,Niraparib,MDA.MB.436,6.162533564,breast
MK-5108,Deforolimus,MDA.MB.436,4.268190966,breast
MK-5108,891494-63-6,MDA.MB.436,-5.641887856,breast
MK-5108,Eloxatin (TN),MDA.MB.436,-7.293347599,breast
MK-5108,391210-10-9,MDA.MB.436,2.606217491,breast
MK-5108,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,-11.32083095,breast
MK-5108,Sorafenib,MDA.MB.436,-7.573413302,breast
MK-5108,topotecan,MDA.MB.436,-5.577541463,breast
Deforolimus,915019-65-7,MDA.MB.436,10.49880842,breast
Deforolimus,Dinaciclib,MDA.MB.436,-1.186038652,breast
Deforolimus,geldanamycin,MDA.MB.436,3.168140806,breast
Deforolimus,891494-63-6,MDA.MB.436,7.085471006,breast
Deforolimus,Eloxatin (TN),MDA.MB.436,-0.052966979,breast
Deforolimus,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,-0.944704705,breast
Deforolimus,Sorafenib,MDA.MB.436,-2.130022125,breast
Deforolimus,topotecan,MDA.MB.436,4.241784645,breast
Eloxatin (TN),Dinaciclib,MDA.MB.436,-6.30074641,breast
Eloxatin (TN),891494-63-6,MDA.MB.436,1.220009548,breast
Eloxatin (TN),Sorafenib,MDA.MB.436,-14.39800505,breast
paclitaxel,Veliparib,MDA.MB.436,3.933690454,breast
paclitaxel,MK-1775,MDA.MB.436,1.684560402,breast
paclitaxel,915019-65-7,MDA.MB.436,1.919570807,breast
paclitaxel,Bortezomib,MDA.MB.436,-2.417099541,breast
paclitaxel,Dasatinib,MDA.MB.436,1.255534538,breast
paclitaxel,Dinaciclib,MDA.MB.436,0.10337725,breast
paclitaxel,Erlotinib,MDA.MB.436,0.798261696,breast
paclitaxel,geldanamycin,MDA.MB.436,3.428486171,breast
paclitaxel,L-778123 free base,MDA.MB.436,-2.563664962,breast
paclitaxel,Lapatinib,MDA.MB.436,-1.652188432,breast
paclitaxel,MK-2206,MDA.MB.436,3.310917823,breast
paclitaxel,Niraparib,MDA.MB.436,-1.127682501,breast
paclitaxel,MK-5108,MDA.MB.436,-7.065337988,breast
paclitaxel,Deforolimus,MDA.MB.436,0.096837579,breast
paclitaxel,891494-63-6,MDA.MB.436,-1.519722773,breast
paclitaxel,391210-10-9,MDA.MB.436,-2.039730031,breast
paclitaxel,Sorafenib,MDA.MB.436,-5.454408766,breast
paclitaxel,Sunitinib,MDA.MB.436,-0.692048212,breast
paclitaxel,temozolomide,MDA.MB.436,-4.564932173,breast
paclitaxel,Vorinostat,MDA.MB.436,2.281635151,breast
391210-10-9,Veliparib,MDA.MB.436,3.085398761,breast
391210-10-9,915019-65-7,MDA.MB.436,5.057320971,breast
391210-10-9,Bortezomib,MDA.MB.436,-8.697560989,breast
391210-10-9,Dasatinib,MDA.MB.436,1.750212424,breast
391210-10-9,Dinaciclib,MDA.MB.436,-2.429656356,breast
391210-10-9,geldanamycin,MDA.MB.436,2.854324268,breast
391210-10-9,Deforolimus,MDA.MB.436,6.073777295,breast
391210-10-9,891494-63-6,MDA.MB.436,3.598395381,breast
391210-10-9,Eloxatin (TN),MDA.MB.436,-0.898523756,breast
391210-10-9,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,-6.019184377,breast
391210-10-9,Sorafenib,MDA.MB.436,-4.171753235,breast
391210-10-9,topotecan,MDA.MB.436,-0.72745566,breast
7-Ethyl-10-hydroxycamptothecin,Dinaciclib,MDA.MB.436,-4.683136705,breast
7-Ethyl-10-hydroxycamptothecin,891494-63-6,MDA.MB.436,3.312589707,breast
7-Ethyl-10-hydroxycamptothecin,Sorafenib,MDA.MB.436,-5.436282444,breast
Sorafenib,Dinaciclib,MDA.MB.436,-5.842206309,breast
Sorafenib,891494-63-6,MDA.MB.436,-6.116646849,breast
Sunitinib,Veliparib,MDA.MB.436,3.913167639,breast
Sunitinib,MK-1775,MDA.MB.436,1.046535747,breast
Sunitinib,915019-65-7,MDA.MB.436,10.86664435,breast
Sunitinib,Bortezomib,MDA.MB.436,-1.789952995,breast
Sunitinib,Dasatinib,MDA.MB.436,9.946120855,breast
Sunitinib,Dinaciclib,MDA.MB.436,-0.638491948,breast
Sunitinib,Erlotinib,MDA.MB.436,4.765412458,breast
Sunitinib,geldanamycin,MDA.MB.436,3.939818822,breast
Sunitinib,Lapatinib,MDA.MB.436,1.166748445,breast
Sunitinib,MK-2206,MDA.MB.436,8.944442219,breast
Sunitinib,Niraparib,MDA.MB.436,0.780589253,breast
Sunitinib,MK-5108,MDA.MB.436,-3.565283543,breast
Sunitinib,Deforolimus,MDA.MB.436,9.833160918,breast
Sunitinib,891494-63-6,MDA.MB.436,3.40802818,breast
Sunitinib,Eloxatin (TN),MDA.MB.436,-10.13791361,breast
Sunitinib,391210-10-9,MDA.MB.436,7.893595665,breast
Sunitinib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,-0.152366233,breast
