Drug1,Drug2,Cell_Line,Synergy,Tissue
Cisplatin,Docetaxel,AU565,0,breast
Cisplatin,Vorinostat,AU565,0,breast
Cisplatin,Vorinostat,BT.549,0,breast
Cisplatin,Vorinostat,CAL.120,0,breast
Cisplatin,Vorinostat,CAL.51,1,breast
Cisplatin,Vorinostat,CAMA.1,0,breast
Cisplatin,Vorinostat,COLO.824,0,breast
Cisplatin,Vorinostat,DU.4475,1,breast
Cisplatin,Vorinostat,EFM.19,0,breast
Cisplatin,Vorinostat,EVSA.T,0,breast
Cisplatin,Vorinostat,HCC1143,0,breast
Cisplatin,Vorinostat,HCC1187,0,breast
Cisplatin,Vorinostat,HCC1395,0,breast
Cisplatin,Vorinostat,HCC1419,0,breast
Cisplatin,Vorinostat,HCC1428,0,breast
Cisplatin,Vorinostat,HCC1806,0,breast
Cisplatin,Vorinostat,HCC1937,0,breast
Cisplatin,Vorinostat,HCC1954,0,breast
Cisplatin,Vorinostat,HCC202,0,breast
Cisplatin,Vorinostat,HCC38,0,breast
Cisplatin,Vorinostat,HCC70,0,breast
Cisplatin,Vorinostat,Hs.578.T,0,breast
Cisplatin,Vorinostat,JIMT.1,0,breast
Cisplatin,Vorinostat,MCF7,0,breast
Cisplatin,Vorinostat,MDA.MB.157,0,breast
Cisplatin,Vorinostat,MDA.MB.231,0,breast
Cisplatin,Vorinostat,MDA.MB.361,0,breast
Cisplatin,Vorinostat,MDA.MB.415,0,breast
Cisplatin,Vorinostat,MDA.MB.436,0,breast
Cisplatin,Vorinostat,MDA.MB.453,0,breast
Cisplatin,Vorinostat,MDA.MB.468,0,breast
Cisplatin,Vorinostat,MFM.223,0,breast
Cisplatin,Vorinostat,OCUB.M,0,breast
Cisplatin,Vorinostat,T47D,0,breast
Cisplatin,Vorinostat,UACC.893,0,breast
Cisplatin,Nilotinib,AU565,0,breast
Cisplatin,Docetaxel,BT.549,0,breast
Cisplatin,Docetaxel,CAL.120,0,breast
Cisplatin,Docetaxel,CAL.51,0,breast
Cisplatin,Docetaxel,CAMA.1,0,breast
Cisplatin,Docetaxel,COLO.824,0,breast
Cisplatin,Docetaxel,DU.4475,1,breast
Cisplatin,Docetaxel,EFM.19,0,breast
Cisplatin,Docetaxel,EVSA.T,0,breast
Cisplatin,Docetaxel,HCC1143,0,breast
Cisplatin,Docetaxel,HCC1187,0,breast
Cisplatin,Docetaxel,HCC1395,0,breast
Cisplatin,Docetaxel,HCC1419,0,breast
Cisplatin,Docetaxel,HCC1428,0,breast
Cisplatin,Docetaxel,HCC1806,0,breast
Cisplatin,Docetaxel,HCC1937,0,breast
Cisplatin,Docetaxel,HCC1954,0,breast
Cisplatin,Docetaxel,HCC202,0,breast
Cisplatin,Docetaxel,HCC38,0,breast
Cisplatin,Docetaxel,HCC70,0,breast
Cisplatin,Docetaxel,Hs.578.T,0,breast
Cisplatin,Docetaxel,JIMT.1,0,breast
Cisplatin,Docetaxel,MCF7,0,breast
Cisplatin,Docetaxel,MDA.MB.157,0,breast
Cisplatin,Docetaxel,MDA.MB.231,0,breast
Cisplatin,Docetaxel,MDA.MB.361,0,breast
Cisplatin,Docetaxel,MDA.MB.415,0,breast
Cisplatin,Docetaxel,MDA.MB.436,0,breast
Cisplatin,Docetaxel,MDA.MB.453,0,breast
Cisplatin,Docetaxel,MDA.MB.468,0,breast
Cisplatin,Docetaxel,MFM.223,0,breast
Cisplatin,Docetaxel,OCUB.M,0,breast
Cisplatin,Docetaxel,T47D,0,breast
Cisplatin,Docetaxel,UACC.893,0,breast
Cisplatin,Navitoclax,AU565,0,breast
Cisplatin,Navitoclax,BT.549,0,breast
Cisplatin,Navitoclax,CAL.120,0,breast
Cisplatin,Navitoclax,CAL.51,1,breast
Cisplatin,Navitoclax,CAMA.1,0,breast
Cisplatin,Navitoclax,COLO.824,1,breast
Cisplatin,Navitoclax,DU.4475,1,breast
Cisplatin,Navitoclax,EFM.19,0,breast
Cisplatin,Navitoclax,EVSA.T,0,breast
Cisplatin,Navitoclax,HCC1143,0,breast
Cisplatin,Navitoclax,HCC1187,0,breast
Cisplatin,Navitoclax,HCC1395,0,breast
Cisplatin,Navitoclax,HCC1419,0,breast
Cisplatin,Navitoclax,HCC1428,0,breast
Cisplatin,Navitoclax,HCC1806,0,breast
Cisplatin,Navitoclax,HCC1937,0,breast
Cisplatin,Navitoclax,HCC1954,0,breast
Cisplatin,Navitoclax,HCC202,0,breast
Cisplatin,Navitoclax,HCC38,1,breast
Cisplatin,Navitoclax,HCC70,1,breast
Cisplatin,Navitoclax,Hs.578.T,0,breast
Cisplatin,Navitoclax,JIMT.1,0,breast
Cisplatin,Olaparib,HCC1187,0,breast
Cisplatin,Olaparib,HCC1395,0,breast
Cisplatin,Nilotinib,BT.549,0,breast
Cisplatin,Nilotinib,CAL.120,0,breast
Cisplatin,Nilotinib,CAL.51,0,breast
Cisplatin,Nilotinib,CAMA.1,0,breast
Cisplatin,Nilotinib,COLO.824,0,breast
Cisplatin,Nilotinib,DU.4475,0,breast
Cisplatin,Nilotinib,EFM.19,0,breast
Cisplatin,Nilotinib,EVSA.T,0,breast
Cisplatin,Nilotinib,HCC1143,0,breast
Cisplatin,Nilotinib,HCC1187,0,breast
Cisplatin,Nilotinib,HCC1395,0,breast
Cisplatin,Nilotinib,HCC1419,0,breast
Cisplatin,Nilotinib,HCC1428,0,breast
Cisplatin,Nilotinib,HCC1806,0,breast
Cisplatin,Nilotinib,HCC1937,0,breast
Cisplatin,Nilotinib,HCC1954,0,breast
Cisplatin,Nilotinib,HCC38,0,breast
Cisplatin,Nilotinib,HCC70,0,breast
Cisplatin,Nilotinib,Hs.578.T,0,breast
Cisplatin,Nilotinib,JIMT.1,0,breast
Cisplatin,Nilotinib,MCF7,0,breast
Cisplatin,Nilotinib,MDA.MB.157,0,breast
Cisplatin,Nilotinib,MDA.MB.231,0,breast
Cisplatin,Nilotinib,MDA.MB.361,0,breast
Cisplatin,Nilotinib,MDA.MB.415,0,breast
Cisplatin,Nilotinib,MDA.MB.436,0,breast
Cisplatin,Nilotinib,MDA.MB.453,0,breast
Cisplatin,Nilotinib,MDA.MB.468,0,breast
Cisplatin,Nilotinib,MFM.223,0,breast
Cisplatin,Nilotinib,OCUB.M,0,breast
Cisplatin,Nilotinib,T47D,0,breast
Cisplatin,Nilotinib,UACC.893,0,breast
Cisplatin,Olaparib,AU565,0,breast
Cisplatin,Olaparib,BT.549,0,breast
Cisplatin,Olaparib,CAL.120,0,breast
Cisplatin,Olaparib,CAL.51,0,breast
Cisplatin,Olaparib,CAMA.1,0,breast
Cisplatin,Olaparib,COLO.824,0,breast
Cisplatin,Olaparib,DU.4475,0,breast
Cisplatin,Olaparib,EFM.19,0,breast
Cisplatin,Olaparib,HCC1419,0,breast
Cisplatin,Olaparib,EVSA.T,0,breast
Cisplatin,Olaparib,HCC1428,0,breast
Cisplatin,Olaparib,HCC1143,0,breast
Cisplatin,Olaparib,HCC1806,0,breast
Cisplatin,Olaparib,HCC1937,0,breast
Cisplatin,Olaparib,HCC1954,0,breast
Cisplatin,Olaparib,HCC38,0,breast
Cisplatin,Olaparib,HCC70,0,breast
Cisplatin,Olaparib,Hs.578.T,0,breast
Cisplatin,Olaparib,JIMT.1,0,breast
Cisplatin,Olaparib,MCF7,0,breast
Cisplatin,Olaparib,MDA.MB.157,0,breast
Cisplatin,Olaparib,MDA.MB.231,0,breast
Cisplatin,Olaparib,MDA.MB.361,0,breast
Cisplatin,Olaparib,MDA.MB.415,0,breast
Cisplatin,Olaparib,MDA.MB.436,0,breast
Cisplatin,Olaparib,MDA.MB.453,0,breast
Cisplatin,Olaparib,MDA.MB.468,0,breast
Cisplatin,Olaparib,MFM.223,0,breast
Cisplatin,Olaparib,OCUB.M,0,breast
Cisplatin,Olaparib,T47D,0,breast
Cisplatin,Olaparib,UACC.893,0,breast
Cisplatin,Axitinib,AU565,0,breast
Cisplatin,Axitinib,BT.549,0,breast
Cisplatin,Axitinib,CAL.120,0,breast
Cisplatin,Axitinib,CAL.51,0,breast
Cisplatin,Axitinib,CAMA.1,0,breast
Cisplatin,Axitinib,COLO.824,0,breast
Cisplatin,Axitinib,DU.4475,0,breast
Cisplatin,Axitinib,EFM.19,0,breast
Cisplatin,Axitinib,EVSA.T,0,breast
Cisplatin,Axitinib,HCC1143,0,breast
Cisplatin,Axitinib,HCC1187,0,breast
Cisplatin,Axitinib,HCC1395,0,breast
Cisplatin,Axitinib,HCC1419,0,breast
Cisplatin,Axitinib,HCC1428,0,breast
Cisplatin,Axitinib,HCC1806,0,breast
Cisplatin,Axitinib,HCC1937,0,breast
Cisplatin,Axitinib,HCC1954,0,breast
Cisplatin,Axitinib,HCC202,0,breast
Cisplatin,Axitinib,HCC38,0,breast
Cisplatin,Axitinib,HCC70,0,breast
Cisplatin,Axitinib,JIMT.1,0,breast
Cisplatin,Axitinib,MCF7,0,breast
Cisplatin,Axitinib,MDA.MB.157,0,breast
Cisplatin,Axitinib,MDA.MB.231,0,breast
Cisplatin,Axitinib,MDA.MB.361,0,breast
Cisplatin,Axitinib,MDA.MB.415,0,breast
Cisplatin,Axitinib,MDA.MB.436,0,breast
Cisplatin,Axitinib,MDA.MB.453,0,breast
Cisplatin,Axitinib,MDA.MB.468,0,breast
Cisplatin,Axitinib,MFM.223,0,breast
Cisplatin,Axitinib,OCUB.M,0,breast
Cisplatin,Axitinib,T47D,0,breast
Cisplatin,Axitinib,UACC.893,1,breast
Cisplatin,AZD7762,AU565,1,breast
Cisplatin,AZD7762,BT.549,0,breast
Cisplatin,AZD7762,CAL.120,0,breast
Cisplatin,AZD7762,CAL.51,1,breast
Cisplatin,AZD7762,CAMA.1,0,breast
Cisplatin,AZD7762,COLO.824,0,breast
Cisplatin,AZD7762,DU.4475,1,breast
Cisplatin,AZD7762,EFM.19,0,breast
Cisplatin,AZD7762,EVSA.T,0,breast
Cisplatin,AZD7762,HCC1143,0,breast
Cisplatin,AZD7762,HCC1187,1,breast
Cisplatin,AZD7762,HCC1395,0,breast
Cisplatin,AZD7762,HCC1419,0,breast
Cisplatin,AZD7762,HCC1428,0,breast
Cisplatin,AZD7762,HCC1806,1,breast
Cisplatin,AZD7762,HCC1937,0,breast
Cisplatin,AZD7762,HCC1954,0,breast
Cisplatin,AZD7762,HCC202,0,breast
Cisplatin,AZD7762,HCC38,0,breast
Cisplatin,AZD7762,HCC70,0,breast
Cisplatin,AZD7762,JIMT.1,1,breast
Cisplatin,AZD7762,MCF7,0,breast
Cisplatin,AZD7762,MDA.MB.157,0,breast
Cisplatin,AZD7762,MDA.MB.231,0,breast
Cisplatin,AZD7762,MDA.MB.361,0,breast
Cisplatin,AZD7762,MDA.MB.415,0,breast
Cisplatin,AZD7762,MDA.MB.436,0,breast
Cisplatin,AZD7762,MDA.MB.453,1,breast
Cisplatin,AZD7762,MDA.MB.468,1,breast
Cisplatin,AZD7762,MFM.223,0,breast
Cisplatin,AZD7762,OCUB.M,1,breast
Cisplatin,AZD7762,T47D,0,breast
Cisplatin,AZD7762,UACC.893,0,breast
Cisplatin,Afatinib,MDA.MB.157,0,breast
Cisplatin,SB216763,AU565,0,breast
Cisplatin,Afatinib,MDA.MB.231,0,breast
Cisplatin,Afatinib,MDA.MB.361,0,breast
Cisplatin,Afatinib,MDA.MB.415,0,breast
Cisplatin,Afatinib,MDA.MB.436,0,breast
Cisplatin,Afatinib,MDA.MB.453,0,breast
Cisplatin,Afatinib,MDA.MB.468,0,breast
Cisplatin,Afatinib,MFM.223,0,breast
Cisplatin,Afatinib,OCUB.M,0,breast
Cisplatin,Afatinib,T47D,0,breast
Cisplatin,Afatinib,UACC.893,0,breast
Cisplatin,NU7441,AU565,0,breast
Cisplatin,NU7441,BT.549,0,breast
Cisplatin,NU7441,CAL.120,0,breast
Cisplatin,NU7441,CAL.51,0,breast
Cisplatin,NU7441,CAMA.1,0,breast
Cisplatin,NU7441,COLO.824,0,breast
Cisplatin,NU7441,DU.4475,0,breast
Cisplatin,NU7441,EFM.19,0,breast
Cisplatin,NU7441,EVSA.T,0,breast
Cisplatin,NU7441,HCC1143,0,breast
Cisplatin,NU7441,HCC1187,0,breast
Cisplatin,NU7441,HCC1395,0,breast
Cisplatin,NU7441,HCC1419,0,breast
Cisplatin,NU7441,HCC1428,0,breast
Cisplatin,NU7441,HCC1806,0,breast
Cisplatin,NU7441,HCC1937,0,breast
Cisplatin,NU7441,HCC1954,0,breast
Cisplatin,NU7441,HCC38,0,breast
Cisplatin,NU7441,HCC70,0,breast
Cisplatin,NU7441,Hs.578.T,0,breast
Cisplatin,NU7441,JIMT.1,0,breast
Cisplatin,NU7441,MCF7,0,breast
Cisplatin,NU7441,MDA.MB.157,0,breast
Cisplatin,NU7441,MDA.MB.231,0,breast
Cisplatin,NU7441,MDA.MB.361,0,breast
Cisplatin,NU7441,MDA.MB.415,0,breast
Cisplatin,NU7441,MDA.MB.436,0,breast
Cisplatin,NU7441,MDA.MB.453,0,breast
Cisplatin,NU7441,MDA.MB.468,0,breast
Cisplatin,NU7441,MFM.223,0,breast
Cisplatin,NU7441,OCUB.M,0,breast
Cisplatin,NU7441,T47D,0,breast
Cisplatin,NU7441,UACC.893,0,breast
Cisplatin,Doramapimod,AU565,0,breast
Cisplatin,SB216763,BT.549,0,breast
Cisplatin,SB216763,CAL.120,0,breast
Cisplatin,SB216763,CAL.51,0,breast
Cisplatin,SB216763,CAMA.1,0,breast
Cisplatin,SB216763,COLO.824,0,breast
Cisplatin,SB216763,DU.4475,0,breast
Cisplatin,SB216763,EFM.19,0,breast
Cisplatin,SB216763,EVSA.T,0,breast
Cisplatin,SB216763,HCC1143,0,breast
Cisplatin,SB216763,HCC1187,0,breast
Cisplatin,SB216763,HCC1395,0,breast
Cisplatin,SB216763,HCC1419,0,breast
Cisplatin,SB216763,HCC1428,0,breast
Cisplatin,SB216763,HCC1806,0,breast
Cisplatin,SB216763,HCC1937,0,breast
Cisplatin,SB216763,HCC1954,0,breast
Cisplatin,SB216763,HCC38,0,breast
Cisplatin,SB216763,HCC70,0,breast
Cisplatin,SB216763,Hs.578.T,0,breast
Cisplatin,SB216763,JIMT.1,0,breast
Cisplatin,SB216763,MCF7,0,breast
Cisplatin,SB216763,MDA.MB.157,0,breast
Cisplatin,SB216763,MDA.MB.231,0,breast
Cisplatin,SB216763,MDA.MB.361,0,breast
Cisplatin,SB216763,MDA.MB.415,0,breast
Cisplatin,SB216763,MDA.MB.436,0,breast
Cisplatin,SB216763,MDA.MB.453,0,breast
Cisplatin,SB216763,MDA.MB.468,0,breast
Cisplatin,SB216763,MFM.223,0,breast
Cisplatin,SB216763,OCUB.M,0,breast
Cisplatin,SB216763,T47D,0,breast
Cisplatin,SB216763,UACC.893,0,breast
Cisplatin,KU-55933,AU565,0,breast
Cisplatin,Doramapimod,BT.549,0,breast
Cisplatin,Doramapimod,CAL.120,0,breast
Cisplatin,Doramapimod,CAL.51,0,breast
Cisplatin,Doramapimod,CAMA.1,0,breast
Cisplatin,Doramapimod,COLO.824,0,breast
Cisplatin,Doramapimod,DU.4475,0,breast
Cisplatin,Doramapimod,EFM.19,0,breast
Cisplatin,Doramapimod,EVSA.T,0,breast
Cisplatin,Doramapimod,HCC1143,0,breast
Cisplatin,Doramapimod,HCC1187,0,breast
Cisplatin,Doramapimod,HCC1395,0,breast
Cisplatin,Doramapimod,HCC1419,0,breast
Cisplatin,Doramapimod,HCC1428,0,breast
Cisplatin,Doramapimod,HCC1806,0,breast
Cisplatin,Doramapimod,HCC1937,0,breast
Cisplatin,Doramapimod,HCC1954,0,breast
Cisplatin,Doramapimod,HCC38,0,breast
Cisplatin,Doramapimod,HCC70,0,breast
Cisplatin,Doramapimod,Hs.578.T,0,breast
Cisplatin,Doramapimod,JIMT.1,0,breast
Cisplatin,Doramapimod,MCF7,0,breast
Cisplatin,Doramapimod,MDA.MB.157,0,breast
Cisplatin,Doramapimod,MDA.MB.231,1,breast
Cisplatin,Doramapimod,MDA.MB.361,0,breast
Cisplatin,Doramapimod,MDA.MB.415,0,breast
Cisplatin,Doramapimod,MDA.MB.436,0,breast
Cisplatin,Doramapimod,MDA.MB.453,0,breast
Cisplatin,Doramapimod,MDA.MB.468,0,breast
Cisplatin,Doramapimod,MFM.223,0,breast
Cisplatin,Doramapimod,OCUB.M,0,breast
Cisplatin,Doramapimod,T47D,0,breast
Cisplatin,Doramapimod,UACC.893,0,breast
Cisplatin,Wee1 Inhibitor,AU565,0,breast
Cisplatin,KU-55933,BT.549,0,breast
Cisplatin,KU-55933,CAL.120,0,breast
Cisplatin,KU-55933,CAL.51,0,breast
Cisplatin,KU-55933,CAMA.1,0,breast
Cisplatin,KU-55933,COLO.824,0,breast
Cisplatin,KU-55933,DU.4475,1,breast
Cisplatin,KU-55933,EFM.19,0,breast
Cisplatin,KU-55933,EVSA.T,0,breast
Cisplatin,KU-55933,HCC1143,0,breast
Cisplatin,KU-55933,HCC1187,0,breast
Cisplatin,KU-55933,HCC1395,0,breast
Cisplatin,KU-55933,HCC1419,0,breast
Cisplatin,KU-55933,HCC1428,0,breast
Cisplatin,KU-55933,HCC1806,0,breast
Cisplatin,KU-55933,HCC1937,0,breast
Cisplatin,KU-55933,HCC1954,0,breast
Cisplatin,KU-55933,HCC38,0,breast
Cisplatin,KU-55933,HCC70,0,breast
Cisplatin,KU-55933,Hs.578.T,0,breast
Cisplatin,KU-55933,JIMT.1,0,breast
Cisplatin,KU-55933,MCF7,0,breast
Cisplatin,KU-55933,MDA.MB.157,0,breast
Cisplatin,KU-55933,MDA.MB.231,0,breast
Cisplatin,KU-55933,MDA.MB.361,0,breast
Cisplatin,KU-55933,MDA.MB.415,0,breast
Cisplatin,KU-55933,MDA.MB.436,0,breast
Cisplatin,KU-55933,MDA.MB.453,0,breast
Cisplatin,KU-55933,MDA.MB.468,0,breast
Cisplatin,KU-55933,MFM.223,0,breast
Cisplatin,KU-55933,OCUB.M,0,breast
Cisplatin,KU-55933,T47D,0,breast
Cisplatin,KU-55933,UACC.893,0,breast
Cisplatin,Afatinib,AU565,0,breast
Cisplatin,Afatinib,BT.549,0,breast
Cisplatin,Afatinib,CAL.120,0,breast
Cisplatin,Afatinib,CAL.51,1,breast
Cisplatin,Afatinib,CAMA.1,0,breast
Cisplatin,Afatinib,COLO.824,0,breast
Cisplatin,Afatinib,DU.4475,0,breast
Cisplatin,Afatinib,EFM.19,0,breast
Cisplatin,Afatinib,EVSA.T,0,breast
Cisplatin,Afatinib,HCC1143,0,breast
Cisplatin,Afatinib,HCC1187,0,breast
Cisplatin,Afatinib,HCC1395,0,breast
Cisplatin,Afatinib,HCC1419,0,breast
Cisplatin,Afatinib,HCC1428,0,breast
Cisplatin,Afatinib,HCC1806,0,breast
Cisplatin,Afatinib,HCC1937,0,breast
Cisplatin,Afatinib,HCC1954,0,breast
Cisplatin,Afatinib,HCC38,0,breast
Cisplatin,Afatinib,HCC70,0,breast
Cisplatin,Afatinib,Hs.578.T,0,breast
Cisplatin,Afatinib,JIMT.1,0,breast
Cisplatin,Afatinib,MCF7,0,breast
Cisplatin,Wee1 Inhibitor,HCC1937,0,breast
Cisplatin,Wee1 Inhibitor,HCC1954,0,breast
Cisplatin,Wee1 Inhibitor,HCC38,0,breast
Cisplatin,Wee1 Inhibitor,HCC70,0,breast
Cisplatin,Wee1 Inhibitor,BT.549,0,breast
Cisplatin,Wee1 Inhibitor,CAL.120,0,breast
Cisplatin,Wee1 Inhibitor,Hs.578.T,0,breast
Cisplatin,Wee1 Inhibitor,JIMT.1,0,breast
Cisplatin,Wee1 Inhibitor,MCF7,0,breast
Cisplatin,Wee1 Inhibitor,MDA.MB.157,0,breast
Cisplatin,Wee1 Inhibitor,CAL.51,0,breast
Cisplatin,Wee1 Inhibitor,CAMA.1,0,breast
Cisplatin,Wee1 Inhibitor,MDA.MB.231,0,breast
Cisplatin,Wee1 Inhibitor,MDA.MB.361,0,breast
Cisplatin,Wee1 Inhibitor,COLO.824,0,breast
Cisplatin,Wee1 Inhibitor,MDA.MB.415,0,breast
Cisplatin,Wee1 Inhibitor,DU.4475,0,breast
Cisplatin,Wee1 Inhibitor,MDA.MB.436,0,breast
Cisplatin,Wee1 Inhibitor,MDA.MB.453,0,breast
Cisplatin,Wee1 Inhibitor,MDA.MB.468,0,breast
Cisplatin,Wee1 Inhibitor,EFM.19,0,breast
Cisplatin,Wee1 Inhibitor,MFM.223,0,breast
Cisplatin,Wee1 Inhibitor,OCUB.M,0,breast
Cisplatin,Wee1 Inhibitor,EVSA.T,0,breast
Cisplatin,Wee1 Inhibitor,T47D,0,breast
Cisplatin,Wee1 Inhibitor,UACC.893,0,breast
Cisplatin,Wee1 Inhibitor,HCC1143,0,breast
Cisplatin,Wee1 Inhibitor,HCC1187,0,breast
Cisplatin,Wee1 Inhibitor,HCC1395,0,breast
Cisplatin,Wee1 Inhibitor,HCC1419,0,breast
Cisplatin,Wee1 Inhibitor,HCC1428,0,breast
Cisplatin,Wee1 Inhibitor,HCC1806,0,breast
Cisplatin,ZM447439,CAL.51,0,breast
Cisplatin,PD173074,AU565,0,breast
Cisplatin,ZM447439,CAMA.1,0,breast
Cisplatin,ZM447439,COLO.824,0,breast
Cisplatin,ZM447439,DU.4475,0,breast
Cisplatin,ZM447439,EFM.19,0,breast
Cisplatin,ZM447439,EVSA.T,1,breast
Cisplatin,ZM447439,HCC1143,0,breast
Cisplatin,ZM447439,HCC1187,0,breast
Cisplatin,ZM447439,HCC1395,0,breast
Cisplatin,ZM447439,HCC1419,0,breast
Cisplatin,ZM447439,HCC1428,0,breast
Cisplatin,ZM447439,HCC1806,0,breast
Cisplatin,ZM447439,HCC1937,0,breast
Cisplatin,ZM447439,HCC1954,0,breast
Cisplatin,ZM447439,HCC38,0,breast
Cisplatin,ZM447439,HCC70,0,breast
Cisplatin,ZM447439,Hs.578.T,0,breast
Cisplatin,ZM447439,JIMT.1,0,breast
Cisplatin,ZM447439,MCF7,0,breast
Cisplatin,ZM447439,MDA.MB.157,0,breast
Cisplatin,ZM447439,MDA.MB.231,0,breast
Cisplatin,ZM447439,MDA.MB.361,0,breast
Cisplatin,ZM447439,MDA.MB.415,0,breast
Cisplatin,ZM447439,MDA.MB.436,0,breast
Cisplatin,ZM447439,MDA.MB.453,0,breast
Cisplatin,ZM447439,MDA.MB.468,0,breast
Cisplatin,ZM447439,MFM.223,0,breast
Cisplatin,ZM447439,OCUB.M,0,breast
Cisplatin,ZM447439,T47D,0,breast
Cisplatin,ZM447439,UACC.893,0,breast
Cisplatin,Alisertib,AU565,0,breast
Cisplatin,PD173074,BT.549,0,breast
Cisplatin,PD173074,CAL.120,0,breast
Cisplatin,PD173074,CAL.51,1,breast
Cisplatin,PD173074,CAMA.1,0,breast
Cisplatin,PD173074,COLO.824,0,breast
Cisplatin,PD173074,DU.4475,0,breast
Cisplatin,PD173074,EFM.19,0,breast
Cisplatin,PD173074,EVSA.T,0,breast
Cisplatin,PD173074,HCC1143,0,breast
Cisplatin,PD173074,HCC1187,0,breast
Cisplatin,PD173074,HCC1395,0,breast
Cisplatin,PD173074,HCC1419,0,breast
Cisplatin,PD173074,HCC1428,0,breast
Cisplatin,PD173074,HCC1806,0,breast
Cisplatin,PD173074,HCC1937,0,breast
Cisplatin,PD173074,HCC1954,0,breast
Cisplatin,PD173074,HCC202,0,breast
Cisplatin,PD173074,HCC38,0,breast
Cisplatin,PD173074,HCC70,0,breast
Cisplatin,PD173074,Hs.578.T,0,breast
Cisplatin,PD173074,JIMT.1,0,breast
Cisplatin,PD173074,MCF7,0,breast
Cisplatin,PD173074,MDA.MB.157,0,breast
Cisplatin,PD173074,MDA.MB.231,0,breast
Cisplatin,PD173074,MDA.MB.361,0,breast
Cisplatin,PD173074,MDA.MB.415,0,breast
Cisplatin,PD173074,MDA.MB.436,0,breast
Cisplatin,PD173074,MDA.MB.453,0,breast
Cisplatin,PD173074,MDA.MB.468,0,breast
Cisplatin,PD173074,MFM.223,0,breast
Cisplatin,PD173074,OCUB.M,0,breast
Cisplatin,PD173074,T47D,0,breast
Cisplatin,PD173074,UACC.893,0,breast
Cisplatin,ZM447439,AU565,0,breast
Cisplatin,ZM447439,BT.549,0,breast
Cisplatin,ZM447439,CAL.120,0,breast
Cisplatin,RO-3306,MFM.223,0,breast
Cisplatin,RO-3306,OCUB.M,0,breast
Cisplatin,RO-3306,T47D,0,breast
Cisplatin,RO-3306,UACC.893,0,breast
Cisplatin,MK-2206,AU565,0,breast
Cisplatin,Alisertib,BT.549,0,breast
Cisplatin,Alisertib,CAL.120,0,breast
Cisplatin,Alisertib,CAL.51,0,breast
Cisplatin,Alisertib,CAMA.1,0,breast
Cisplatin,Alisertib,COLO.824,0,breast
Cisplatin,Alisertib,DU.4475,0,breast
Cisplatin,Alisertib,EFM.19,0,breast
Cisplatin,Alisertib,EVSA.T,0,breast
Cisplatin,Alisertib,HCC1143,0,breast
Cisplatin,Alisertib,HCC1187,0,breast
Cisplatin,Alisertib,HCC1395,0,breast
Cisplatin,Alisertib,HCC1419,0,breast
Cisplatin,Alisertib,HCC1428,0,breast
Cisplatin,Alisertib,HCC1806,0,breast
Cisplatin,Alisertib,HCC1937,0,breast
Cisplatin,Alisertib,HCC1954,0,breast
Cisplatin,Alisertib,HCC38,0,breast
Cisplatin,Alisertib,HCC70,0,breast
